X,Y
2.708487197,0.419691541
1.416272469,0.988084926
0.40723899,0.396075633
2.867336039,0.270831409
2.360301523,0.704196715
2.24466689,0.781412235
0.053010651,0.052985827
2.089846492,0.868290742
2.554857021,0.553645568
1.049592578,0.867220432
2.549089022,0.558439646
0.640430921,0.597541026
1.472396008,0.995162594
0.531296731,0.506651745
0.569658498,0.539344506
1.671346171,0.994949122
2.631214331,0.48850739
0.713858455,0.654755017
2.810022279,0.32552827
2.295937986,0.748405475
0.594012268,0.559690493
1.696340831,0.992129634
2.106692709,0.859811271
1.101321451,0.891805987
0.808160649,0.723017721
0.011902219,0.011901938
1.736716819,0.986266745
2.127201147,0.849159341
2.043153172,0.89049843
1.187658315,0.927496112
2.112643818,0.856757356
2.655018769,0.467600158
0.397350993,0.386977082
0.599414045,0.564158767
1.592883084,0.999756098
1.651661733,0.996732174
0.342234565,0.335592905
0.215063936,0.213409892
0.626422926,0.58625062
1.211737419,0.936227932
1.771965697,0.97983359
1.321146275,0.968998941
2.949552904,0.190861544
1.840540788,0.963839025
2.527207251,0.576456426
1.824152348,0.968076674
0.054567095,0.054540019
2.923551134,0.21631793
0.363292337,0.355353606
1.22318186,0.940188033
1.649098178,0.996935976
0.2244026,0.222523981
0.829950865,0.73789821
2.845362712,0.29191644
2.323404645,0.729908451
0.75716422,0.686863202
0.031769768,0.031764424
1.439069796,0.991336599
1.146000549,0.911122919
1.873867,0.954424541
2.7383343,0.392417412
2.71846675,0.410612684
0.40623188,0.395150685
2.913480026,0.226139448
2.812952055,0.322756678
2.952116459,0.18834449
1.221167638,0.93949997
2.25492111,0.774972477
1.428357799,0.989872773
2.191747795,0.813325252
0.226599933,0.224665681
0.118655965,0.11837773
2.038575396,0.892571918
0.231635487,0.229569637
2.071810053,0.877096105
1.959288308,0.925481339
0.574144719,0.543116846
0.896145512,0.780925109
0.934324168,0.804197573
0.793786431,0.713013236
2.832819605,0.30388994
0.74507889,0.6780298
2.7764214,0.357109262
2.310037538,0.738979988
0.530289621,0.505783207
2.794732505,0.339946631
2.558885464,0.550286389
2.096896268,0.864772114
0.983306375,0.832334553
1.344401379,0.974481937
0.134403516,0.13399923
2.84234138,0.294804838
2.891415143,0.247575947
2.506241035,0.593460556
2.036194952,0.893642742
1.841181677,0.96366804
1.187292093,0.927359144
2.52784814,0.57593262
2.881618702,0.257055379
0.658101138,0.611615662
0.425000763,0.412321477
0.50511185,0.483905326
1.611102634,0.999187811
0.287759026,0.283804109
2.67259743,0.45199023
0.576799829,0.545344312
1.278847621,0.95768482
0.657368694,0.611036021
0.380596332,0.371474196
2.195318461,0.811242625
2.615009003,0.502582746
0.81429487,0.727241791
0.193548387,0.19234223
2.567674795,0.542926348
0.078188421,0.078108779
0.643269143,0.599814411
0.17322306,0.172358063
0.859523301,0.75753146
