X,Y
1.612781152,2.601063043
1.717764824,2.950715992
-1.471907712,2.166512313
-1.476424451,2.179829161
-0.15131077,0.022894949
0.163640248,0.026778131
-0.3251442,0.105718751
1.794305246,3.219531316
1.412213507,1.994346991
-1.176244392,1.38355087
1.213110752,1.471637696
1.912717063,3.658486563
-1.009125034,1.018333335
-0.11322367,0.012819599
1.821527757,3.317963368
1.110080264,1.232278192
1.089083529,1.186102933
-1.751213111,3.066747359
1.586169012,2.515932133
-1.197851497,1.434848209
0.437086093,0.191044252
0.782799768,0.612775477
-1.304177984,1.700880214
-1.997436445,3.989752353
1.254615925,1.574061118
1.050508133,1.103567338
-0.19757683,0.039036604
-1.257423627,1.581114179
1.488753929,2.216388262
1.087374493,1.182383287
1.169164098,1.366944688
-0.875576037,0.766633396
0.154850917,0.023978807
1.880855739,3.537618311
-0.265816218,0.070658262
-1.367412336,1.869816496
1.903073214,3.621687657
-1.830439161,3.350507523
-0.787560656,0.620251786
0.327463607,0.107232414
0.936979278,0.877930167
-0.811120945,0.657917187
-1.638294626,2.684009281
-1.452986236,2.111169002
0.408520768,0.166889218
-1.015228736,1.030689387
-1.462141789,2.137858611
0.741538743,0.549879708
1.414654988,2.001248736
1.924680319,3.704394329
1.664052248,2.769069883
-1.934812464,3.74349927
1.720328379,2.959529732
-0.972136601,0.945049571
-0.261421552,0.068341228
1.352397229,1.828978265
-1.666615802,2.777608233
0.741538743,0.549879708
-0.991424299,0.98292214
1.099215674,1.208275099
-1.943968017,3.77901165
1.786614582,3.191991664
-0.070131535,0.004918432
0.080019532,0.006403125
-1.862910855,3.470436855
-0.300485244,0.090291382
0.043519395,0.001893938
1.221045564,1.49095227
1.151707511,1.32643019
-1.30588702,1.70534091
0.889614551,0.79141405
-0.643635365,0.414266483
-1.767693106,3.124738917
0.468703269,0.219682754
-1.913449507,3.661289016
-0.507766961,0.257827286
0.776451918,0.602877581
1.583117161,2.506259944
-0.301217689,0.090732096
-1.796136357,3.226105812
